age,income,credit_score,loan_amount,employment_type,marital_status,education,default
32,133143,542,274182,Salaried,Single,Bachelor,0
25,130253,506,273558,Salaried,Single,Bachelor,0
31,96162,570,485875,Self-Employed,Single,Master,1
40,120297,414,336650,Unemployed,Divorced,High School,1
57,20869,598,343730,Salaried,Married,Bachelor,1
38,117088,782,400822,Self-Employed,Married,Master,0
33,21014,696,283626,Salaried,Married,High School,0
62,30103,693,234901,Salaried,Married,PhD,0
35,102522,374,207945,Salaried,Married,High School,0
64,130317,781,38948,Salaried,Divorced,Master,0
41,116007,402,357131,Salaried,Married,Bachelor,1
43,53458,596,227873,Self-Employed,Married,High School,1
42,110605,477,227322,Unemployed,Married,High School,1
62,102409,514,25875,Salaried,Divorced,Master,0
58,43248,614,280201,Salaried,Single,Master,0
46,109160,338,37400,Unemployed,Single,Master,1
32,63516,558,469674,Salaried,Divorced,PhD,1
62,49061,306,73607,Self-Employed,Divorced,Master,1
18,44170,348,354705,Salaried,Married,High School,1
42,28024,837,294647,Salaried,Married,Master,0
24,102214,460,421981,Salaried,Single,Bachelor,1
26,123792,475,106096,Self-Employed,Married,Bachelor,0
41,105947,301,51612,Self-Employed,Divorced,High School,1
18,63803,754,365462,Salaried,Single,Bachelor,1
61,39296,575,266538,Self-Employed,Married,Master,1
25,111829,797,89335,Salaried,Divorced,Bachelor,0
41,112708,327,368133,Salaried,Married,Master,0
28,106664,632,98012,Self-Employed,Married,PhD,0
68,38257,300,86748,Salaried,Married,High School,1
34,32855,487,407644,Salaried,Divorced,Master,1
25,105178,355,167491,Salaried,Divorced,Master,1
52,149876,846,70195,Unemployed,Married,High School,0
52,121121,411,209767,Self-Employed,Divorced,Master,1
50,143324,609,94846,Self-Employed,Divorced,Bachelor,0
22,40025,335,107404,Salaried,Divorced,Bachelor,0
59,24458,738,306286,Self-Employed,Married,High School,1
56,83610,624,266320,Salaried,Married,Bachelor,0
58,90843,606,76540,Unemployed,Married,Bachelor,1
45,127237,833,174361,Salaried,Married,Bachelor,0
24,103961,408,344092,Salaried,Married,High School,1
26,69831,671,326095,Salaried,Single,Master,0
25,63427,656,16755,Self-Employed,Married,Master,0
29,113809,480,257915,Self-Employed,Married,Bachelor,0
51,58506,655,385129,Salaried,Divorced,Bachelor,1
50,25668,367,89553,Salaried,Divorced,High School,0
65,111470,591,139962,Self-Employed,Married,Master,1
40,67195,480,361520,Salaried,Married,High School,1
41,93233,765,261760,Self-Employed,Married,High School,0
54,44417,733,22175,Unemployed,Single,Bachelor,0
52,101982,763,472943,Salaried,Single,Master,0
61,126133,833,332831,Salaried,Divorced,Bachelor,0
57,30751,365,352127,Salaried,Single,High School,1
39,66218,320,486503,Salaried,Divorced,Master,1
44,146649,683,230783,Salaried,Divorced,Master,0
52,27352,338,160360,Self-Employed,Married,Master,1
18,99052,584,51629,Salaried,Divorced,Bachelor,1
52,108835,635,121779,Salaried,Married,Master,0
54,117493,487,183872,Self-Employed,Divorced,Bachelor,0
64,48927,542,173439,Self-Employed,Divorced,Bachelor,1
31,61094,372,476026,Unemployed,Single,Bachelor,1
20,121948,778,475970,Salaried,Married,Bachelor,0
18,74122,400,487544,Self-Employed,Married,Bachelor,1
22,49493,813,335657,Unemployed,Single,High School,1
43,112247,475,87762,Salaried,Divorced,Bachelor,0
31,93539,537,165094,Salaried,Married,Bachelor,0
56,51707,358,205401,Salaried,Married,Master,0
44,88814,398,457630,Self-Employed,Single,High School,1
26,27296,794,399875,Salaried,Married,PhD,0
32,45398,813,62941,Unemployed,Divorced,Bachelor,1
32,55842,596,436146,Self-Employed,Married,Bachelor,1
43,33261,510,310617,Salaried,Married,High School,1
59,96709,422,191670,Salaried,Married,Master,0
30,115985,528,21040,Salaried,Single,Master,0
68,126616,687,74806,Salaried,Married,PhD,0
49,76704,439,149358,Self-Employed,Single,Bachelor,1
56,87173,840,205211,Self-Employed,Single,Bachelor,0
66,51781,690,117076,Salaried,Single,Master,0
69,33652,569,60916,Self-Employed,Divorced,Master,1
49,25103,311,153672,Salaried,Divorced,PhD,1
21,45500,688,400507,Salaried,Single,Bachelor,0
47,135332,636,411339,Salaried,Married,Master,0
54,120336,805,270955,Salaried,Single,High School,0
40,55529,405,477099,Unemployed,Divorced,Bachelor,1
56,133499,331,36276,Self-Employed,Married,High School,0
62,38452,373,190217,Salaried,Married,Master,1
32,69393,470,444835,Salaried,Married,Master,1
60,51174,368,348193,Salaried,Married,High School,1
46,84450,661,206750,Salaried,Married,Bachelor,0
53,55436,732,224854,Self-Employed,Single,Bachelor,0
30,67406,399,227115,Unemployed,Single,Bachelor,1
49,83059,308,424930,Self-Employed,Married,High School,1
24,35954,328,191757,Salaried,Divorced,Bachelor,1
68,102722,413,148266,Salaried,Married,Master,1
39,139747,761,340206,Salaried,Single,Bachelor,0
45,32356,442,462253,Salaried,Divorced,Bachelor,1
19,148128,689,155434,Salaried,Single,PhD,0
59,118499,456,321643,Salaried,Single,High School,0
62,22187,634,51281,Salaried,Divorced,Master,0
23,97243,559,461029,Self-Employed,Married,Bachelor,1
45,55098,381,311996,Self-Employed,Married,PhD,1
45,112471,740,267120,Salaried,Married,Bachelor,0
61,41225,471,258693,Self-Employed,Married,Master,1
61,23606,530,183908,Salaried,Single,High School,1
37,148664,374,9595,Salaried,Married,PhD,0
47,77620,569,100930,Self-Employed,Married,Bachelor,0
28,52828,361,151474,Salaried,Divorced,Bachelor,1
45,146270,619,266745,Unemployed,Divorced,High School,1
42,46489,401,201355,Salaried,Married,PhD,1
56,34387,728,359820,Salaried,Married,Master,0
50,89463,554,486347,Salaried,Single,High School,1
18,91832,831,178795,Self-Employed,Single,High School,0
44,115980,411,187394,Self-Employed,Married,Bachelor,1
69,131926,612,182836,Self-Employed,Married,Bachelor,0
30,132429,760,423127,Self-Employed,Married,Bachelor,0
58,22591,761,227360,Salaried,Married,PhD,0
20,143446,391,286549,Salaried,Divorced,Master,0
56,130431,351,63122,Self-Employed,Married,PhD,1
23,68516,819,487972,Salaried,Married,Bachelor,0
25,111683,397,235561,Unemployed,Single,Master,1
44,82061,535,237661,Salaried,Married,Bachelor,1
26,124425,673,133909,Salaried,Divorced,Bachelor,0
54,86736,533,270591,Salaried,Single,Bachelor,1
50,101257,331,189215,Self-Employed,Married,Bachelor,0
68,81753,588,461122,Unemployed,Divorced,PhD,1
59,104774,841,15662,Salaried,Married,Bachelor,0
61,31087,413,461217,Salaried,Married,Master,1
41,50816,503,63282,Salaried,Single,Master,0
32,43408,328,403115,Salaried,Married,Bachelor,1
49,144116,773,295726,Unemployed,Married,Bachelor,0
49,125276,552,72471,Salaried,Single,Bachelor,0
41,20136,685,128513,Salaried,Married,High School,0
58,37413,361,178285,Salaried,Single,Master,0
69,133650,814,112578,Salaried,Married,PhD,0
66,79500,729,343015,Self-Employed,Divorced,Bachelor,1
66,104514,836,88205,Salaried,Married,PhD,0
69,76358,440,341225,Salaried,Married,Bachelor,1
29,86197,599,372927,Unemployed,Married,Bachelor,1
56,120776,610,239631,Salaried,Single,Bachelor,0
19,112789,770,88805,Self-Employed,Divorced,High School,0
20,112420,692,129698,Salaried,Single,High School,0
66,52854,744,173902,Salaried,Single,Bachelor,0
54,96240,471,405282,Salaried,Married,High School,0
66,124523,330,15712,Salaried,Married,High School,1
34,149494,346,348671,Salaried,Married,High School,1
66,110063,429,396597,Salaried,Single,High School,1
19,36322,651,131888,Salaried,Divorced,High School,0
19,133053,357,237398,Salaried,Married,Bachelor,1
45,26968,405,201437,Self-Employed,Single,Master,1
40,47518,629,92185,Unemployed,Married,High School,0
54,71925,682,366995,Salaried,Single,High School,1
49,79848,461,429022,Salaried,Married,Master,1
50,131900,585,17210,Self-Employed,Married,High School,0
18,113422,370,41972,Self-Employed,Married,Master,0
36,21700,753,241966,Salaried,Single,High School,0
19,113782,696,301280,Salaried,Single,Bachelor,0
61,121004,814,442513,Salaried,Single,High School,0
43,43199,325,383589,Salaried,Single,Bachelor,1
49,64589,612,283089,Unemployed,Single,Master,1
23,52115,425,231273,Self-Employed,Married,High School,1
49,81934,707,440693,Self-Employed,Single,PhD,0
21,136335,497,346324,Salaried,Married,Bachelor,1
28,140726,487,337597,Salaried,Married,PhD,0
34,74316,783,352548,Self-Employed,Single,High School,0
55,25520,749,475629,Salaried,Married,High School,0
41,129814,822,411440,Salaried,Single,Bachelor,0
22,56455,653,8052,Salaried,Married,High School,0
69,135284,399,294416,Salaried,Married,Master,0
51,106465,577,308294,Salaried,Single,Bachelor,0
23,143364,790,232276,Salaried,Married,Master,0
39,61605,554,153388,Self-Employed,Single,High School,1
28,34955,680,451605,Self-Employed,Married,Master,1
65,64049,841,461548,Salaried,Divorced,Bachelor,1
33,33917,563,143312,Self-Employed,Single,Master,1
50,90293,628,364239,Salaried,Married,Bachelor,0
26,98581,414,335918,Salaried,Single,PhD,0
23,139072,575,310319,Self-Employed,Single,PhD,1
33,84925,787,398781,Salaried,Single,Master,0
46,127216,580,485514,Salaried,Divorced,Bachelor,0
20,90269,574,469310,Self-Employed,Married,Bachelor,1
37,50954,627,21375,Unemployed,Divorced,High School,1
53,116671,510,30710,Salaried,Married,PhD,0
36,92617,325,185967,Salaried,Single,PhD,0
43,61458,326,259624,Salaried,Married,High School,1
20,109037,382,474855,Salaried,Divorced,Bachelor,1
36,41113,712,151246,Salaried,Divorced,Master,0
37,119977,466,374170,Salaried,Married,High School,1
49,132622,468,485545,Self-Employed,Married,High School,1
24,145947,528,32597,Salaried,Single,PhD,0
69,110226,666,341433,Salaried,Single,Master,1
58,63939,827,436613,Salaried,Married,PhD,0
50,49345,837,470070,Salaried,Divorced,High School,0
57,144616,823,431285,Unemployed,Married,Bachelor,0
56,66313,371,90687,Salaried,Divorced,Master,0
35,130107,405,123968,Self-Employed,Single,Bachelor,0
57,141866,581,45274,Self-Employed,Married,Bachelor,0
18,112365,432,472453,Self-Employed,Divorced,Master,1
28,120598,833,208570,Salaried,Married,PhD,0
45,89166,568,436413,Unemployed,Married,Bachelor,1
42,67861,711,53634,Salaried,Married,High School,0
67,117406,317,297185,Salaried,Married,High School,1
40,69298,416,405464,Salaried,Divorced,Bachelor,1
48,67221,443,352509,Salaried,Married,High School,1
47,64942,721,400419,Salaried,Single,Bachelor,0
59,23453,668,319130,Salaried,Married,Bachelor,1
52,122811,349,292514,Salaried,Single,Master,0
24,74935,405,302391,Self-Employed,Married,Bachelor,1
33,142439,515,391547,Salaried,Single,Bachelor,0
43,63370,724,386688,Salaried,Divorced,Master,0
65,123932,371,211994,Unemployed,Divorced,Bachelor,1
69,28328,745,261480,Salaried,Single,PhD,1
66,35534,485,398650,Self-Employed,Single,Master,1
19,105280,369,67982,Unemployed,Married,PhD,1
18,104925,449,332324,Salaried,Married,Bachelor,1
65,56320,545,113534,Salaried,Single,Bachelor,1
29,69170,837,170546,Self-Employed,Single,Bachelor,0
22,120546,398,291788,Unemployed,Married,PhD,1
54,100201,577,43493,Self-Employed,Married,Bachelor,1
49,148935,754,350968,Salaried,Single,High School,0
26,141006,403,402175,Unemployed,Married,Master,1
58,123401,532,314433,Salaried,Divorced,Bachelor,1
52,28640,693,409359,Salaried,Single,Master,0
36,120252,800,437809,Salaried,Married,PhD,0
65,111057,550,437331,Salaried,Single,PhD,1
33,50049,820,247217,Self-Employed,Single,Bachelor,0
20,25618,378,158612,Self-Employed,Single,High School,1
37,122540,351,302625,Self-Employed,Married,Bachelor,0
41,76053,525,231577,Salaried,Divorced,Bachelor,1
50,21920,350,82097,Salaried,Married,Master,1
41,63937,485,289722,Self-Employed,Single,Master,1
69,89724,333,411003,Salaried,Single,Master,1
28,32207,430,339192,Unemployed,Married,High School,1
66,85774,742,188951,Self-Employed,Single,Master,0
25,52972,731,146668,Self-Employed,Married,High School,0
53,30799,796,495498,Salaried,Married,High School,0
55,91088,702,458885,Self-Employed,Divorced,Master,0
57,48916,622,418146,Unemployed,Single,Bachelor,1
37,90463,509,184022,Salaried,Married,Master,0
52,113500,628,362881,Self-Employed,Single,Bachelor,0
65,96700,671,285831,Salaried,Married,High School,0
42,57158,759,451049,Salaried,Married,Bachelor,0
52,104607,432,127540,Self-Employed,Divorced,Master,0
42,139639,420,172061,Self-Employed,Married,Bachelor,1
46,133945,751,297327,Self-Employed,Married,Master,0
35,91696,428,287902,Salaried,Single,Master,0
63,81510,390,137154,Salaried,Single,Bachelor,0
35,140076,328,243013,Self-Employed,Married,Master,1
19,78692,823,101368,Salaried,Divorced,Master,0
52,81744,632,50891,Salaried,Married,Master,0
33,35810,596,444026,Salaried,Married,Master,1
58,25126,429,51901,Salaried,Single,Bachelor,0
53,50009,592,481728,Self-Employed,Married,Bachelor,1
50,119120,472,371056,Self-Employed,Married,Master,1
21,131718,323,76062,Salaried,Single,Bachelor,0
50,110932,398,494838,Salaried,Married,Master,1
31,20192,705,157635,Salaried,Married,Bachelor,0
38,136464,655,339152,Salaried,Married,High School,0
65,56413,438,400991,Salaried,Married,Bachelor,1
37,32816,802,414044,Salaried,Married,High School,0
25,59082,473,285118,Self-Employed,Married,High School,1
24,85048,328,158460,Self-Employed,Married,Master,1
20,143130,795,85591,Salaried,Married,Bachelor,0
34,70940,650,257990,Self-Employed,Single,Bachelor,0
50,52130,598,285759,Unemployed,Single,Bachelor,1
65,60142,491,436102,Salaried,Single,Bachelor,1
29,149564,363,27838,Salaried,Married,High School,0
68,56468,514,307872,Salaried,Divorced,Master,1
39,50698,465,121249,Salaried,Single,Master,1
39,30655,842,83000,Self-Employed,Single,Master,0
63,67897,531,319942,Self-Employed,Married,High School,1
47,50075,840,470992,Salaried,Married,Bachelor,0
55,29359,494,468694,Self-Employed,Married,Master,1
55,149048,805,417838,Self-Employed,Married,High School,0
62,122197,633,149608,Salaried,Married,High School,0
68,125115,603,465352,Salaried,Married,Master,1
25,62056,736,141772,Self-Employed,Divorced,Master,0
44,71831,622,174911,Unemployed,Single,Bachelor,1
44,79191,801,277392,Self-Employed,Divorced,High School,0
51,138592,692,50291,Unemployed,Single,Bachelor,0
38,141948,448,349773,Salaried,Single,Bachelor,0
47,53272,704,220963,Salaried,Married,Bachelor,0
50,128117,582,130612,Salaried,Married,Bachelor,0
45,34671,661,22177,Salaried,Divorced,Bachelor,0
64,47048,678,417699,Self-Employed,Married,Master,1
50,96274,497,48815,Unemployed,Divorced,Master,1
22,45963,655,305677,Self-Employed,Single,Master,1
65,63954,839,267170,Salaried,Single,High School,0
36,92309,728,109997,Salaried,Married,Bachelor,0
21,122120,316,65611,Salaried,Married,High School,1
52,115430,678,92242,Salaried,Married,Bachelor,0
66,20717,805,422876,Self-Employed,Married,PhD,1
34,31676,375,191175,Salaried,Single,Master,1
61,24434,530,450469,Unemployed,Single,High School,1
45,69810,547,372057,Self-Employed,Married,Bachelor,1
47,123361,601,47082,Salaried,Married,High School,0
46,138696,514,152330,Salaried,Married,High School,1
63,114636,457,108613,Self-Employed,Married,Bachelor,1
23,24994,368,365459,Salaried,Divorced,Bachelor,1
52,24234,692,356834,Self-Employed,Single,Bachelor,0
58,89300,384,100220,Salaried,Married,High School,0
54,63949,566,20389,Salaried,Married,Master,0
41,57405,368,96860,Salaried,Married,Bachelor,0
46,54872,646,163757,Salaried,Married,Master,0
66,62215,722,457436,Self-Employed,Divorced,High School,1
63,43185,473,425411,Salaried,Married,Master,1
48,63442,414,26797,Self-Employed,Single,Bachelor,0
52,143263,519,379119,Self-Employed,Single,Bachelor,1
50,71759,330,469526,Self-Employed,Married,Bachelor,1
69,61153,822,364313,Salaried,Married,Bachelor,1
38,97535,642,250939,Self-Employed,Single,Bachelor,0
49,122023,676,71332,Salaried,Single,High School,0
40,22581,429,241655,Salaried,Married,Master,1
50,71717,838,229997,Self-Employed,Married,High School,0
20,22763,301,461123,Salaried,Single,Bachelor,1
35,112910,400,405404,Self-Employed,Married,Bachelor,1
42,75480,832,290840,Salaried,Married,Bachelor,0
59,58759,357,7024,Self-Employed,Divorced,Master,0
48,96067,688,471418,Salaried,Single,PhD,0
20,138094,640,434201,Self-Employed,Married,High School,1
57,45307,319,142656,Unemployed,Married,Bachelor,1
63,116371,554,358142,Salaried,Single,Master,1
41,31064,616,163116,Salaried,Married,Bachelor,1
67,96848,337,262339,Self-Employed,Single,Master,1
49,57548,836,272429,Salaried,Married,PhD,0
64,56945,685,461331,Salaried,Married,Master,0
39,67937,325,274514,Salaried,Single,High School,1
40,26476,753,22903,Self-Employed,Single,Master,0
19,71756,622,168571,Self-Employed,Married,PhD,0
44,110101,812,365048,Self-Employed,Single,Master,0
59,22382,312,290139,Self-Employed,Married,Bachelor,1
19,69683,670,372304,Self-Employed,Married,PhD,1
43,107999,590,433416,Salaried,Divorced,PhD,0
34,65276,631,93377,Salaried,Married,PhD,0
57,53402,560,206474,Salaried,Married,Bachelor,1
50,111881,504,411782,Unemployed,Single,Master,1
26,130300,686,304966,Self-Employed,Single,Master,0
60,46946,767,374556,Salaried,Single,High School,0
65,99698,714,318366,Self-Employed,Married,Bachelor,0
56,134690,368,361232,Salaried,Married,Master,0
46,132309,771,498301,Self-Employed,Married,Master,0
59,93933,403,357594,Salaried,Married,Master,1
43,42335,460,448884,Salaried,Married,High School,1
52,65095,499,114366,Self-Employed,Single,Bachelor,0
67,99930,515,377222,Self-Employed,Single,Bachelor,1
42,149974,511,68853,Salaried,Divorced,Master,0
41,47197,807,190715,Salaried,Married,High School,0
30,147619,315,390938,Self-Employed,Married,Master,0
24,42010,797,158405,Self-Employed,Married,Master,0
53,44123,631,414174,Self-Employed,Married,PhD,1
62,107923,555,57442,Salaried,Single,Bachelor,1
37,22890,471,419170,Unemployed,Divorced,Master,1
18,113305,797,473390,Self-Employed,Married,PhD,0
25,129162,770,235755,Self-Employed,Single,Master,0
63,140927,683,14675,Self-Employed,Divorced,High School,0
33,28026,806,94590,Salaried,Married,High School,0
31,84925,826,375714,Salaried,Married,Master,0
29,88842,624,298805,Self-Employed,Single,Bachelor,1
68,53665,513,69289,Salaried,Single,Master,0
40,29277,507,22184,Self-Employed,Single,Master,1
32,62239,468,315107,Salaried,Single,PhD,1
45,67664,629,161894,Salaried,Married,Bachelor,0
51,68008,579,460519,Salaried,Married,Master,1
19,34683,604,212537,Self-Employed,Married,High School,1
49,20670,445,272411,Salaried,Divorced,Bachelor,1
40,109211,815,188719,Self-Employed,Single,High School,0
39,37889,389,329958,Salaried,Divorced,Master,1
68,75612,752,303169,Self-Employed,Divorced,Master,0
42,64535,359,126246,Salaried,Married,Bachelor,1
39,98542,610,344749,Salaried,Single,Bachelor,0
39,74319,827,137053,Self-Employed,Married,Master,0
66,134072,526,310580,Salaried,Married,Master,1
69,112067,773,154544,Salaried,Married,Master,0
59,41639,840,155408,Unemployed,Single,PhD,0
23,84712,378,161659,Salaried,Married,Master,0
32,36633,732,344336,Salaried,Married,Bachelor,0
60,141145,452,491078,Salaried,Single,Bachelor,1
54,54660,700,482262,Salaried,Married,Bachelor,0
50,88975,578,242439,Salaried,Single,Master,0
25,52172,356,451229,Salaried,Married,Bachelor,1
61,79197,485,387735,Self-Employed,Divorced,Master,1
61,121158,697,351655,Salaried,Single,High School,0
22,78847,457,14665,Self-Employed,Married,PhD,1
56,31577,658,163169,Salaried,Single,Master,0
21,97299,739,358421,Salaried,Married,Bachelor,0
23,40176,765,57474,Salaried,Divorced,Bachelor,0
62,64386,745,208045,Self-Employed,Married,High School,0
49,83972,787,423401,Self-Employed,Divorced,Master,0
69,140018,829,80911,Self-Employed,Married,Master,0
47,109791,372,97643,Salaried,Married,Master,0
64,61003,316,297628,Self-Employed,Divorced,High School,1
52,39996,830,264383,Self-Employed,Single,Bachelor,0
57,120922,625,368309,Salaried,Single,Bachelor,0
69,106598,845,181682,Salaried,Married,Bachelor,0
33,55931,501,186879,Salaried,Married,Bachelor,1
30,144168,643,449123,Self-Employed,Married,Bachelor,1
67,55710,822,455605,Salaried,Single,Bachelor,0
59,143099,699,292979,Self-Employed,Divorced,Master,0
47,54693,517,231351,Salaried,Married,Master,1
36,55740,744,101453,Salaried,Divorced,Bachelor,0
34,97241,521,58790,Salaried,Married,Master,0
36,128944,682,213032,Salaried,Married,High School,0
45,113583,306,276787,Salaried,Divorced,Bachelor,0
43,96502,571,342990,Salaried,Married,PhD,0
54,37374,315,417167,Self-Employed,Divorced,High School,1
43,96674,723,490320,Salaried,Single,Bachelor,1
40,136500,823,413449,Salaried,Married,High School,0
26,101471,320,18200,Salaried,Divorced,Bachelor,1
29,65913,527,57275,Salaried,Divorced,Master,1
18,143683,587,485300,Salaried,Single,High School,1
18,86025,433,474284,Salaried,Single,High School,1
64,64516,582,356145,Salaried,Married,Master,1
51,107796,703,157363,Salaried,Divorced,Bachelor,0
49,46069,365,309592,Unemployed,Married,Bachelor,1
65,138333,736,428796,Salaried,Married,PhD,0
42,76233,558,96685,Salaried,Married,Bachelor,0
57,104811,402,419562,Salaried,Single,Master,1
62,79049,400,277763,Salaried,Divorced,PhD,1
18,121820,497,110454,Self-Employed,Married,Bachelor,1
33,138028,525,6766,Salaried,Married,Bachelor,0
56,59178,762,270693,Salaried,Married,Bachelor,0
22,52821,536,154765,Self-Employed,Married,Master,0
39,71727,325,460235,Salaried,Married,Bachelor,1
46,80935,420,495674,Unemployed,Divorced,Master,1
20,36999,805,261356,Self-Employed,Married,PhD,0
29,82522,481,375082,Salaried,Married,Master,0
43,58712,842,394817,Salaried,Single,PhD,0
33,84551,614,498496,Salaried,Divorced,Master,1
68,60172,572,315472,Salaried,Single,PhD,1
54,53722,531,475917,Salaried,Single,High School,1
39,30625,719,225172,Salaried,Single,Master,0
46,87165,741,499010,Unemployed,Married,Master,1
31,96509,795,30301,Salaried,Divorced,Bachelor,0
45,26859,323,49763,Self-Employed,Married,High School,1
22,61609,408,156837,Self-Employed,Single,Master,1
64,63307,801,311931,Self-Employed,Single,High School,1
66,130986,324,387819,Salaried,Married,Bachelor,1
47,121582,486,12425,Salaried,Single,Bachelor,0
63,41839,587,280001,Self-Employed,Married,PhD,1
69,47216,637,188843,Self-Employed,Married,Bachelor,1
22,72953,336,360143,Unemployed,Divorced,Master,1
29,104481,436,420660,Self-Employed,Married,High School,1
33,80593,807,264561,Salaried,Single,Bachelor,0
43,92075,526,46457,Salaried,Divorced,Bachelor,0
43,69522,619,215813,Salaried,Married,Master,1
65,119161,481,398920,Self-Employed,Divorced,Master,1
38,24886,385,10452,Salaried,Single,Master,0
56,131249,766,116153,Self-Employed,Married,Master,0
53,27485,352,306006,Unemployed,Divorced,Bachelor,1
50,51455,534,197543,Self-Employed,Single,Master,1
47,131984,732,467433,Salaried,Married,Bachelor,0
54,36767,795,484274,Salaried,Single,High School,0
40,132701,399,285444,Self-Employed,Married,Master,0
27,48453,702,407782,Salaried,Divorced,Master,0
22,96280,695,405717,Salaried,Married,Bachelor,0
53,122638,826,6845,Salaried,Divorced,PhD,0
51,73442,714,124342,Salaried,Married,Master,0
69,71877,762,306325,Salaried,Divorced,Bachelor,0
48,32226,840,455479,Unemployed,Married,Bachelor,1
27,113405,663,242366,Unemployed,Single,PhD,1
36,42588,429,244004,Unemployed,Married,Master,1
49,98976,383,476982,Salaried,Married,Bachelor,1
18,51709,570,199110,Unemployed,Divorced,Master,1
22,67788,543,253850,Unemployed,Married,Bachelor,1
62,108031,687,219362,Unemployed,Married,Bachelor,1
21,57019,513,252688,Self-Employed,Divorced,Master,1
33,64948,465,39404,Self-Employed,Divorced,Bachelor,1
41,85133,358,27564,Salaried,Married,Master,0
33,134444,803,102898,Self-Employed,Divorced,PhD,0
